"Thématiques","Critères","Accueil non connecté|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/login",Vos demandes|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier,Un dossier en cours|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier/O19-V7J-EJW,Une question ?|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/faq,"Mon profil|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/profil","Contact",Plan du site|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/plan,"Mentions légales","Accessibilité","CGU|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/conditions"
"1","1","c",na,na,na,"na","na",na,"na","na","na"
"1","2","c",c,c,c,"c","c",c,"c","c","c"
"1","3","c|Remplacer ""Connexion avec FranceConnect"" par ""S'identifier avec FranceConnect""",na,na,na,"na","na",na,"na","na","na"
"1","4","na",na,na,na,"na","na",na,"na","na","na"
"1","5","na",na,na,na,"na","na",na,"na","na","na"
"1","6","c",na,na,na,"na","na",na,"na","na","na"
"1","7","na",na,na,na,"na","na",na,"na","na","na"
"1","8","c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.",c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.,c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.,c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.,"c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.","c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.",c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.,"c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.","c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux.","c|Un bouton FranceConnect avec un logo en SVG et du texte stylisé serait mieux."
"1","9","na",na,na,na,"na","na",na,"na","na","na"
"2","1","na",na,na,na,"na","na",na,"na","na","na"
"2","2","na",na,na,na,"na","na",na,"na","na","na"
"3","1","c",c,c,c,"c","c",c,"c","c","c"
"3","2","nc|Le lien ""Cliquez ici"" après le texte ""Une question sur FranceConnect ?"" n'est presque pas visible avec le thème sombre (contraste de 1 : 4.5)","nc|Au survol des en-têtes de colonne du tableau, une flêche indiquant l'ordre de tri apparait. Cette flêche n'est pas assez contrastée avec le fond). Contraste de 2 : 1 (thèmes clair et sombre).","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement.","nc|Les éléments de la barre de navigation principale, ainsi que les élements du menu mobile, au survol du curseur de la souris, ne sont pas assez contrastés (3,7 : 1). Thème sombre uniquement."
"3","3","c",c,c,c,"c","c",c,"c","c","c"
"4","1","na",na,na,na,"na","na",na,"na","na","na"
"4","2","na",na,na,na,"na","na",na,"na","na","na"
"4","3","na",na,na,na,"na","na",na,"na","na","na"
"4","4","na",na,na,na,"na","na",na,"na","na","na"
"4","5","na",na,na,na,"na","na",na,"na","na","na"
"4","6","na",na,na,na,"na","na",na,"na","na","na"
"4","7","na",na,na,na,"na","na",na,"na","na","na"
"4","8","na",na,na,na,"na","na",na,"na","na","na"
"4","9","na",na,na,na,"na","na",na,"na","na","na"
"4","10","na",na,na,na,"na","na",na,"na","na","na"
"4","11","na",na,na,na,"na","na",na,"na","na","na"
"4","12","na",na,na,na,"na","na",na,"na","na","na"
"4","13","na",na,na,na,"na","na",na,"na","na","na"
"5","1","na",na,na,na,"na","na",na,"na","na","na"
"5","2","na",na,na,na,"na","na",na,"na","na","na"
"5","3","na",na,na,na,"na","na",na,"na","na","na"
"5","4","na",c,na,na,"na","na",na,"na","na","na"
"5","5","na",c,na,na,"na","na",na,"na","na","na"
"5","6","na",c,na,na,"na","na",na,"na","na","na"
"5","7","na",c,na,na,"na","na",na,"na","na","na"
"5","8","na",c,na,na,"na","na",na,"na","na","na"
"6","1","nc|L'intitulé du lien ""cliquer ici"" près de ""Une question sur FranceConnect ?"" n'est pas pertinent. Il vaudrait mieux le supprimer et mettre le lien sur ""Une question sur FranceConnect ?""|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""Qu'est ce que FranceConnect ? – nouvelle fenêtre""`","nc|Les liens de la dernière colonne du tableau n'ont pas d'intitulé. Suggestion : remplacer par un lien texte explicite ""Voir le détail"". Note : l'intitulé de la colonne est ""Détail"" mais ce n'est perceptible que par les technologies d'assistance (utilisation de la classe CSS "".sr-only""). Voir aussi : [How to make a table row a link](https://robertcooper.me/post/table-row-links)","nc|Les liens ""Télécharger"" ne sont pas explicites (et il devraient être des éléments `<a>`et non `<p>`.","nc|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""Service-Public.fr – nouvelle fenêtre""`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","nc|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""La CNIL – nouvelle fenêtre""`"
"6","2","c",nc|Les liens de la dernière colonne du tableau n'ont pas d'intitulé.,c,c,"c","c",c,"c","c","c"
