"Thématiques","Critères","Accueil|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/index",Authentification|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/authentification.afficher?onglet=connexion&token=3lMCbVCVwqn2SEp810S1rQ%3D%3D,"Créer une demande (authentifié)|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/demandeCreation",Localisation|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/demandeCreation/localisation.afficher,"Éligibilité (après avoir cliqué sur ""vérifier"")|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/eligibilite.afficher","Formulaire ""Informations générales""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/informationsGenerales.afficher","Formulaire ""Demandeurs""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/demandeurs.afficher","Formulaire ""Composition du foyer""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/compositionFoyer.afficher","Formulaire ""Situation professionnelle""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/situationProfessionnelle.afficher","Formulaire ""Récapitulatif""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/recapitulatif.afficher","Formulaire ""Fin""|","Contact","Mentions légales","Accessibilité","Aide / Support"
"1","1","c|Le spinner de la page de chargement n'a pas d'alternative textuelle, mais il ne semble pas utilisé","c|Le spinner de la page de chargement n'a pas d'alternative textuelle, mais il ne semble pas utilisé","c|Le spinner de la page de chargement n'a pas d'alternative textuelle, mais il ne semble pas utilisé","c|Le spinner de la page de chargement n'a pas d'alternative textuelle, mais il ne semble pas utilisé",,,,,,,,,,,
"3","1","c",nc|L'information de validité des informations entrées dans les champs de saisie n'est donnée que par la couleur rouge ou verte,"nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.","nc|L'information de la page courante n'est donnée que par la couleur. Il y a bien un aria-current=""page"", mais cela ne suffit pas, il faut ajouter un graphisme ou un style typographique.",,,,
"4","1","nc",na,"nc",,,,,,,,,,,,
"4","10","na",na,"na",na,"na","na","na","na","na","na","na","na","na","na","na"
"5","3","na",na,"na",,,,,,,,,,,,
"5","7","na",na,"na",,,,,,,,,,,,
"6","1","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites.","nc|Les liens images du footer, vers les sites externes (AMF, ActionLogement, etc.), ont comme intitulé les URLs complètes au lieu d'intitulés explicites."
"6","2","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé","nc|Le lien mobile vers ""mon compte"" (en haut à droite, lien image en forme de personnage) n'a pas d'intitulé"
"7","1","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)|Les videos d'aide ne peuvent être lancées au clavier (juste ""onClick"")","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)|Le système d'onglets ne fonctionne pas sous Safari (v15.1)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)|Mauvais comportement de la modale de déconnexion","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)"
"7","3","nc|Les videos d'aide ne peuvent être lancées au clavier (juste ""onClick"")","nc|Le menu mobile cache une partie de la page, ce devrait être une [modale](https://www.w3.org/TR/wai-aria-practices-1.1/#dialog_modal)","nc|Le lien ""Déconnexion"" n'est pas accessible au clavier",,,,,,,,,,,,
